start, end, status, prefix
00001,00182,dead,top102017
00183,00659,live,top102017
00660,00739,dead,top102017
00740,00828,live,top102017
00829,00966,dead,top102017
00967,01383,live,top102017
01384,01907,dead,top102017
01908,01971,live,top102017
01972,02435,dead,top102017
02436,03073,live,top102017
03074,03128,dead,top102017
03129,03296,live,top102017
03297,03411,dead,top102017
03412,04060,live,top102017
04061,04231,dead,top102017
04232,04442,live,top102017
04443,04460,dead,top102017
04461,05176,live,top102017
05177,05237,dead,top102017
05238,05447,live,top102017
05448,05510,dead,top102017
05511,05686,live,top102017
05687,06384,dead,top102017
06385,06678,live,top102017
06679,06644,dead,top102017
06645,07156,live,top102017
07157,07292,dead,top102017
07293,07634,replay,top102017
07635,07893,dead,top102017
07894,08067,live,top102017
08068,08138,dead,top102017
08139,08323,live,top102017
08324,08412,dead,top102017
08413,08831,live,top102017
08832,08879,dead,top102017
08880,08984,live,top102017
08985,08993,dead,top102017
08994,09139,live,top102017
09140,09230,dead,top102017
09231,09325,live,top102017
09326,09471,dead,top102017
09472,09710,live,top102017
09711,09836,dead,top102017
09837,10088,live,top102017
10089,10111,dead,top102017
10112,10308,live,top102017
10309,10356,dead,top102017
10357,10592,live,top102017
10593,10660,dead,top102017
10661,10947,live,top102017
10948,11102,dead,top102017
11103,11276,live,top102017
11277,11472,dead,top102017
11473,11761,live,top102017
11762,11914,dead,top102017
11915,11986,live,top102017
11987,12399,dead,top102017
12400,12924,live,top102017
12925,12946,dead,top102017
12947,13228,live,top102017
13229,13232,dead,top102017
13233,13416,live,top102017
13417,13473,dead,top102017
13474,13878,live,top102017
13879,13882,dead,top102017
13883,14126,live,top102017
14127,14129,dead,top102017
14130,14364,live,top102017
14365,14388,dead,top102017
14389,14570,live,top102017
14571,14643,dead,top102017
14644,14843,live,top102017
14844,14862,dead,top102017
14863,15059,live,top102017
15060,15060,dead,top102017
15061,15237,live,top102017
15238,15820,dead,top102017
15821,15909,live,top102017
15910,16758,dead,top102017
16759,17361,live,top102017
17362,17475,dead,top102017
17476,17549,live,top102017
17550,17656,dead,top102017
17657,18184,live,top102017
18185,18289,dead,top102017
18290,18480,live,top102017
18481,18510,dead,top102017
18511,18767,live,top102017
18768,18845,dead,top102017
18846,19115,live,top102017
19116,19167,dead,top102017
19168,19220,live,top102017
19221,19338,dead,top102017
19339,19712,live,top102017
19713,19842,dead,top102017
19843,19991,live,top102017
19992,20516,dead,top102017
20517,20939,live,top102017
20940,20989,dead,top102017
20990,21428,live,top102017
21429,21456,dead,top102017
21457,21719,live,top102017
21720,21763,dead,top102017
21764,22513,live,top102017
22514,22551,dead,top102017
22552,22635,live,top102017
22636,22736,dead,top102017
22737,22935,live,top102017
22936,22942,dead,top102017
22943,23013,live,top102017
23014,23067,dead,top102017
23068,23501,live,top102017
23502,23560,dead,top102017
23561,24068,live,top102017
24069,24200,dead,top102017
24201,24670,live,top102017
24671,24750,dead,top102017
24751,24823,live,top102017
24824,24942,dead,top102017
24943,25165,live,top102017
25166,25565,dead,top102017
25566,26008,live,top102017
